,description,count,mean,median,std,rmse,r2
base,Базовая модель (удаление пропусков),686,94138.333090379,91346.0,28377.090154758604,29181.09485626955,0.12071198961743246
missing_simple,Обработка пропусков: simple,2100,94138.333090379,94138.333090379,16210.892521292379,17358.367957982955,0.05163116566981574
missing_group_mean,Обработка пропусков: group_mean,2100,92239.91217307386,88185.86206896552,17966.895900091877,17013.991599521803,0.22726043797163675
missing_knn,Обработка пропусков: knn,2100,96075.60549687629,94138.333090379,28541.650943914716,27483.038108456607,0.06932785941482544
missing_drop,Обработка пропусков: drop,686,94138.333090379,91346.0,28377.090154758604,29181.09485626955,0.12071198961743246
outliers_iqr,Обработка выбросов: iqr,1347,88511.7990027609,88185.86206896552,6264.805633720881,5700.730055422456,0.15279868088224602
outliers_z_score,Обработка выбросов: z_score,2039,90858.97158728639,88185.86206896552,14308.30562080943,12633.11351368608,0.15401741290951598
outliers_winsorize,Обработка выбросов: winsorize,2100,91571.53979212148,88185.86206896552,13110.389168000913,10681.61896068483,0.32871545105034117
outliers_cap,Обработка выбросов: cap,2100,90105.66476782742,88185.86206896552,9684.33074177261,7981.699361228094,0.2949668834574374
best_combined,Лучшая комбинация методов (group_mean + winsorize + обработка категориальных),2100,91571.53979212148,88185.86206896552,13110.389168000913,10648.41305935785,0.3328826023443444
